lat;long;formatted_address
-30 0101959;-51 1413894;R. Cruz Jobim, 54 - Jardim Itu-Sabará, Porto Alegre - RS, 91380-360, Brazil
-30 0146775;-51 1195673;Av. Baltazar de Oliveira Garcia, 2580 - São Sebastião, Porto Alegre - RS, Brazil
-30 0179779;-51 2039266;Av. Cristóvão Colombo, 1724 - Floresta, Porto Alegre - RS, 90560-002, Brazil
-30 02331;-51 2011118;R. Olávo Barreto Viana, 36 - Moinhos de Vento, Porto Alegre - RS, 90570-070, Brazil
-30 0430425;-51 1818038;Av. Protásio Alves, 2728 - Petrópolis, Porto Alegre - RS, 90410-001, Brazil
-30 0292744;-51 2081417;R. Ramiro Barcelos, 1172 - Floresta, Porto Alegre - RS, 90035-004, Brazil
-30 0107744;-51 200961;Av. São Pedro, 844 - São Geraldo, Porto Alegre - RS, 90230-122, Brazil
-30 0317272;-51 2347274;R. dos Andradas, 685 - Centro, Porto Alegre - RS, 90020-003, Brazil
-30 0904122;-51 2291394;R. João Maia, 375 - Nonoai, Porto Alegre - RS, 90830-310, Brazil
-30 0177795;-51 1994903;Av. Cristóvão Colombo, 2144 - Floresta, Porto Alegre - RS, 90560-002, Brazil
-30 030476;-51 226284;Ed. Fleming - R. Gen. Vitorino, 53 - sala 31 - Centro Histórico, Porto Alegre - RS, 90020-170, Brazil
-30 068559;-51 205049;R. Prof. Oscar Pereira, 2060 - Glória, Porto Alegre - RS, 90660-080, Brazil
-30 0388012;-51 2184813;Av. João Pessoa, 809 - Farroupilha, Porto Alegre - RS, Brazil
-29 9966821;-51 0944909;R. dos Maias, 1400 - Rubem Berta, Porto Alegre - RS, 91170-200, Brazil
-30 0107531;-51 1478807;Av. Assis Brasil, 3879 - Cristo Redentor, Porto Alegre - RS, 91010-007, Brazil
-30 0251439;-51 2227353;Av. Júlio de Castilhos, 435 - Centro, Porto Alegre - RS, 90030-131, Brazil
-30 0114477;-51 2035104;R. Moura Azevedo, 606 - São Geraldo, Porto Alegre - RS, 90230-151, Brazil
-30 0217249;-51 1828869;Av. Plínio Brasil Milano, 805 - Higienópolis, Porto Alegre - RS, 90520-002, Brazil
-30 002328;-51 090539;Av. Francisco Talaia de Moura, 395 - Rubem Berta, Porto Alegre - RS, 91170-090, Brazil
